no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
FQA703,GREEN,HOLDEN,2010,CAR,2023-11-27,Waikato,3,November,14
CSA159,BLACK,MINI,2005,CAR,2023-11-28,Waikato,3,November,19
B224R,WHITE,JAYCO,2003,CAMPER,2023-11-28,Waikato,3,November,21
KJR90,WHITE,FIAT,2000,VAN,2023-11-28,Waikato,3,November,24
GYR684,BLACK,AUDI,2003,CAR,2023-11-29,Waikato,3,November,21
Jun-80,ORANGE,NISSAN,2016,UTILITY TRUCK,2023-11-29,Waikato,3,November,8
JUN80,ORANGE,NISSAN,2016,UTILITY TRUCK,2023-11-29,Waikato,3,November,8
97HII,BLACK,TRIUMPH,1979,MOTORCYCLE,2023-11-30,Waikato,3,November,45
677ZO,WHITE,PIONEER,1973,CAMPER,2023-11-30,Waikato,3,November,51
JJS717,GREY,SUBARU,2010,CAR,2023-12-01,Waikato,3,December,14
22NAH,WHITE,CUSTOMBUILT,1984,CAMPER,2023-12-01,Waikato,3,December,40
4H447,SILVER,HOMEBUILT,2011,TRAILER,2023-12-01,Waikato,3,December,13
Z313P,SILVER,HOMEBUILT,2014,TRAILER,2023-12-02,Waikato,3,December,10
DYN308,SILVER,NISSAN,2004,CAR,2023-12-03,Waikato,3,December,20
NCN843,GREY,VOLKSWAGEN,2020,CAR,2023-12-03,Waikato,3,December,4
25U25,GREY,TUI-TRAILERS,2018,TRAILER,2023-12-03,Waikato,3,December,6
45F91,GREY,HOMEBUILT,2019,TRAILER,2023-12-04,Waikato,3,December,5
6B289,SILVER,HOMEBUILT,2017,TRAILER,2023-12-04,Waikato,3,December,7
A2MYT,BLACK,HARLEY DAVIDSON,2007,MOTORCYCLE,2023-12-04,Waikato,3,December,17
1N615,WHITE,HOMEBUILT,2015,TRAILER,2023-12-04,Waikato,3,December,9
KQS196,WHITE,MAZDA,2011,VAN,2023-12-04,Waikato,3,December,13
DWB476,GREEN,FORD,2007,CAR,2023-12-04,Waikato,3,December,17
CPG890,SILVER,NISSAN,1997,CAR,2023-12-05,Waikato,3,December,27
3A964,SILVER,TRAILER-WORLD,2015,TRAILER,2023-12-06,Waikato,3,December,9
C5MYZ,BLACK,TNT MOTOR,2022,MOTORCYCLE,2023-12-06,Waikato,3,December,2
BZS110,SILVER,HOLDEN,2004,CAR,2023-12-06,Waikato,3,December,20
97R66,SILVER,HOMEBUILT,2021,TRAILER,2023-12-07,Waikato,3,December,3
FWT999,SILVER,TOYOTA,2002,CAR,2023-12-07,Waikato,3,December,22
SQ5939,WHITE,MITSUBISHI,1994,CAMPER,2023-12-07,Waikato,3,December,30
DMA814,WHITE,FORD,1997,BUS,2023-12-07,Waikato,3,December,27
CJU811,SILVER,KIA,2004,VAN,2023-12-08,Waikato,3,December,20
GV2183,BLUE,BYD,2023,CAR,2023-12-10,Waikato,3,December,1
BZC591,WHITE,ISUZU,2004,UTILITY TRUCK,2023-12-10,Waikato,3,December,20
CWN928,BLUE,TOYOTA,1996,CAR,2023-12-10,Waikato,3,December,28
K833B,SILVER,HOMEBUILT,2007,TRAILER,2023-12-11,Waikato,3,December,17
C2SBA,BLACK,FACTORY BUILT,2023,MOTORCYCLE,2023-12-11,Waikato,3,December,1
S00RME,BLACK,AUDI,2015,CAR,2023-12-12,Waikato,3,December,9
90W61,YELLOW,CLASSIC,1969,CAMPER,2023-12-13,Waikato,3,December,55
